Longitude,Latitude,Pixel,Scan
55.5644517,-89.9231318,0,0
56.3265402,-89.9230478,100,0
57.0867686,-89.9229502,200,0
57.8448772,-89.9228391,300,0
58.6006109,-89.9227145,400,0
59.3537193,-89.9225766,500,0
60.1039576,-89.9224253,600,0
60.8510865,-89.9222608,700,0
61.5948732,-89.9220832,800,0
62.3350913,-89.9218926,900,0
63.0715213,-89.9216889,1000,0
63.8039512,-89.9214725,1100,0
64.5321762,-89.9212433,1200,0
65.2559994,-89.9210015,1300,0
65.975232,-89.9207472,1400,0
66.6896931,-89.9204805,1500,0
67.3992105,-89.9202015,1600,0
68.1036201,-89.9199105,1700,0
68.8027664,-89.9196074,1800,0
69.4965027,-89.9192925,1900,0
70.1846905,-89.9189659,2000,0
70.8672004,-89.9186278,2100,0
71.543911,-89.9182782,2200,0
72.21471,-89.9179174,2300,0
72.8794931,-89.9175454,2400,0
73.5381644,-89.9171625,2500,0
74.1906365,-89.9167688,2600,0
74.8368298,-89.9163644,2700,0
75.4766725,-89.9159495,2800,0
76.1101009,-89.9155243,2900,0
76.7370586,-89.915089,3000,0
77.3574966,-89.9146436,3100,0
77.9713729,-89.9141883,3200,0
78.5786525,-89.9137233,3300,0
79.1793073,-89.9132488,3400,0
79.7733152,-89.912765,3500,0
80.3606605,-89.9122719,3600,0
80.9413336,-89.9117697,3700,0
81.5153304,-89.9112586,3800,0
82.0826523,-89.9107387,3900,0
82.6433059,-89.9102103,4000,0
83.1973027,-89.9096734,4100,0
83.744659,-89.9091282,4200,0
84.2853955,-89.9085749,4300,0
84.8195372,-89.9080136,4400,0
85.3471128,-89.9074444,4500,0
85.8681552,-89.9068676,4600,0
86.3827004,-89.9062832,4700,0
86.8907879,-89.9056914,4800,0
87.3924602,-89.9050923,4900,0
87.8877627,-89.9044861,5000,0
88.3767435,-89.9038729,5100,0
88.8594531,-89.9032528,5200,0
89.3359443,-89.902626,5300,0
89.8062719,-89.9019926,5400,0
90.2704928,-89.9013528,5500,0
90.7286654,-89.9007066,5600,0
91.1808498,-89.9000543,5700,0
91.6271076,-89.8993958,5800,0
92.0675015,-89.8987314,5900,0
92.5020955,-89.8980611,6000,0
92.9309545,-89.8973851,6100,0
93.3541443,-89.8967035,6200,0
93.7717313,-89.8960164,6300,0
94.1837828,-89.8953239,6400,0
94.5903663,-89.8946262,6500,0
94.99155,-89.8939232,6600,0
95.3874024,-89.8932152,6700,0
95.7779919,-89.8925022,6800,0
96.1633874,-89.8917844,6900,0
96.5436578,-89.8910618,7000,0
96.9188718,-89.8903345,7100,0
97.2890982,-89.8896027,7200,0
97.6544056,-89.8888663,7300,0
98.0148622,-89.8881256,7400,0
98.3705364,-89.8873806,7500,0
98.7214957,-89.8866313,7600,0
99.0678076,-89.8858779,7700,0
99.4095392,-89.8851205,7800,0
99.7467568,-89.8843591,7900,0
100.079527,-89.8835938,8000,0
100.407914,-89.8828247,8100,0
100.731984,-89.8820519,8200,0
101.051801,-89.8812754,8300,0
101.367429,-89.8804954,8400,0
101.67893,-89.8797118,8500,0
101.986368,-89.8789248,8600,0
102.289803,-89.8781344,8700,0
102.589298,-89.8773408,8800,0
102.884911,-89.8765438,8900,0
103.176703,-89.8757437,9000,0
103.464733,-89.8749405,9100,0
103.749059,-89.8741343,9200,0
104.029738,-89.873325,9300,0
104.306826,-89.8725129,9400,0
104.58038,-89.8716978,9500,0
104.850455,-89.87088,9600,0
105.117104,-89.8700593,9700,0
105.380381,-89.869236,9800,0
105.64034,-89.86841,9900,0
105.897031,-89.8675814,10000,0
106.150507,-89.8667503,10100,0
106.400816,-89.8659166,10200,0
106.64801,-89.8650805,10300,0
106.892137,-89.864242,10400,0
107.133245,-89.8634012,10500,0
107.371381,-89.862558,10600,0
107.606592,-89.8617125,10700,0
107.838924,-89.8608648,10800,0
108.068422,-89.860015,10900,0
108.29513,-89.8591629,11000,0
108.519092,-89.8583088,11100,0
108.740351,-89.8574526,11200,0
108.958949,-89.8565944,11300,0
109.174927,-89.8557342,11400,0
109.388327,-89.8548721,11500,0
109.599188,-89.854008,11600,0
109.807551,-89.853142,11700,0
110.013453,-89.8522742,11800,0
110.216933,-89.8514046,11900,0
110.41603,-89.850542,11999,0
55.5872633,-89.9241566,0,100
56.3596059,-89.9240721,100,100
57.1300268,-89.9239738,200,100
