epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,126.402,1.81585,1.65361,1.21769,0.638,0.55079,0.61426,0.33665,1.63918,1.2954,1.09457,0.00066483,0.00066483,0.00066483
2,230.995,1.56732,1.21796,1.08578,0.63883,0.56655,0.63371,0.35896,1.57349,1.23265,1.05769,0.00119968,0.00119968,0.00119968
3,330.467,1.52795,1.16061,1.06883,0.71715,0.61046,0.70833,0.41476,1.4741,1.15204,1.02888,0.00160253,0.00160253,0.00160253
4,427.864,1.49535,1.1271,1.05738,0.64322,0.58371,0.65917,0.39692,1.45454,1.1125,1.01913,0.001406,0.001406,0.001406
5,518.959,1.47511,1.09094,1.05035,0.70735,0.57895,0.67722,0.40699,1.45133,1.26521,1.02863,0.001208,0.001208,0.001208
6,628.105,1.4539,1.06217,1.03924,0.71897,0.64353,0.73712,0.44577,1.4209,1.0619,1.01088,0.00101,0.00101,0.00101
7,727.971,1.43493,1.04014,1.03192,0.74733,0.65262,0.75891,0.45803,1.42238,1.03281,1.00569,0.000812,0.000812,0.000812
8,826.505,1.41968,1.02055,1.02721,0.74913,0.66475,0.76859,0.46964,1.39657,0.98564,0.99817,0.000614,0.000614,0.000614
9,925.535,1.40518,1.00405,1.02485,0.7528,0.66213,0.76806,0.47116,1.38467,0.97999,0.99908,0.000416,0.000416,0.000416
10,1023.5,1.38586,0.98442,1.01859,0.75624,0.67789,0.7807,0.48201,1.36867,0.94506,0.99348,0.000218,0.000218,0.000218
